,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Skellefteå,86,SE,1588895335,92,64.75,20.95,0.0,2.1
1,San Patricio,5,MX,1588895335,83,19.22,-104.7,28.0,2.6
2,Cabo San Lucas,5,MX,1588895113,11,22.89,-109.91,38.0,8.7
3,Borås,90,SE,1588895335,81,57.72,12.94,6.67,3.6
4,Mataura,81,NZ,1588895336,77,-46.19,168.86,11.26,2.36
5,Bethel,40,US,1588895701,19,41.37,-73.41,16.0,3.6
6,Bambous Virieux,40,MU,1588895701,94,-20.34,57.76,23.33,2.1
7,Leshukonskoye,96,RU,1588895701,95,64.9,45.76,0.63,1.13
8,Albany,75,US,1588895601,25,42.6,-73.97,16.0,8.2
9,Bembibre,34,ES,1588895702,85,42.62,-6.42,15.56,1.34
10,Chernyshevskiy,96,RU,1588895702,88,63.01,112.47,-5.57,4.78
11,Hermanus,86,ZA,1588895702,95,-34.42,19.23,13.33,3.14
12,Atuona,80,PF,1588895703,76,-9.8,-139.03,27.03,9.14
13,Hobart,75,AU,1588895670,62,-42.88,147.33,15.0,3.1
14,Eureka,37,US,1588895703,62,40.8,-124.16,20.0,1.79
15,Clyde River,20,CA,1588895703,85,70.47,-68.59,-9.0,2.1
16,Cape Town,98,ZA,1588895074,93,-33.93,18.42,18.33,5.7
17,Barrow,90,US,1588895338,85,71.29,-156.79,-11.0,7.2
18,Lázaro Cárdenas,0,MX,1588895338,57,17.96,-102.2,28.69,3.44
19,Lebu,100,CL,1588895092,83,-37.62,-73.65,13.86,2.88
20,Bluff,93,NZ,1588895093,72,-46.6,168.33,10.51,3.71
21,Rikitea,11,PF,1588895307,74,-23.12,-134.97,23.96,6.0
22,Polahongon,52,PH,1588895096,73,10.53,124.97,29.43,1.21
23,Redcar,0,GB,1588895339,82,54.62,-1.06,11.67,3.08
24,Port Keats,0,AU,1588895340,61,-14.25,129.55,25.64,4.33
25,Havelock,28,US,1588895101,39,34.88,-76.9,17.78,1.34
26,Port Alfred,100,ZA,1588895340,90,-33.59,26.89,16.11,2.12
27,North Bend,1,US,1588895340,59,43.41,-124.22,26.67,10.3
28,Saint-François,79,FR,1588895106,76,46.42,3.91,12.0,1.52
29,Puerto Madero,40,MX,1588895341,66,14.72,-92.42,30.0,2.6
30,Ilulissat,0,GL,1588895318,63,69.22,-51.1,-1.0,5.7
31,Los Llanos de Aridane,13,ES,1588895341,72,28.66,-17.92,19.0,2.1
32,Black River,75,JM,1588895342,88,18.03,-77.85,28.33,5.7
33,George Town,20,MY,1588895125,100,5.41,100.34,27.0,1.5
34,Ushuaia,90,AR,1588895342,70,-54.8,-68.3,9.0,7.7
35,Souillac,40,MU,1588895342,94,-20.52,57.52,23.0,2.1
36,Coquimbo,90,CL,1588895342,93,-29.95,-71.34,14.0,3.6
37,Jamestown,90,US,1588895117,86,42.1,-79.24,5.0,5.1
38,Road Town,31,VG,1588895119,85,18.42,-64.62,27.78,0.45
39,Nanortalik,86,GL,1588895120,83,60.14,-45.24,4.05,0.62
40,Motygino,14,RU,1588895343,79,58.18,94.76,4.67,2.85
41,Vaini,75,TO,1588895343,88,-21.2,-175.2,27.0,5.1
42,Adrar,95,MR,1588895344,16,20.5,-10.07,34.96,4.02
43,Constitución,81,CL,1588895344,49,-35.33,-72.42,15.98,1.81
44,Timizart,100,DZ,1588895344,59,36.8,4.27,20.34,3.32
45,Alpena,1,US,1588895132,33,45.06,-83.43,7.0,6.7
46,Severo-Kuril'sk,99,RU,1588895133,84,50.68,156.12,1.8,7.98
47,Port Elizabeth,100,ZA,1588895135,87,-33.92,25.57,16.0,3.1
48,Thompson,40,CA,1588895137,55,55.74,-97.86,1.0,5.1
49,Rio Grande da Serra,75,BR,1588895137,82,-23.74,-46.4,17.78,5.1
50,Vestmannaeyjar,18,IS,1588895320,75,63.44,-20.27,6.89,7.21
51,Lysyye Gory,100,RU,1588895346,96,51.55,44.84,13.77,0.74
52,Laas,5,IT,1588895346,70,46.62,10.7,8.0,1.0
53,Llangefni,5,GB,1588895346,100,53.26,-4.31,10.0,6.2
54,Saskylakh,94,RU,1588895143,93,71.92,114.08,-15.42,2.99
55,Avarua,40,CK,1588895145,74,-21.21,-159.78,29.0,5.1
56,Punta Arenas,90,CL,1588895309,100,-53.15,-70.92,8.0,3.6
57,Iquique,36,CL,1588895347,68,-20.22,-70.14,19.0,6.7
58,Malayal,40,PH,1588895347,83,7.21,121.94,27.0,1.47
59,Bandarbeyla,0,SO,1588895347,74,9.49,50.81,27.96,2.41
60,Butaritari,99,KI,1588895348,77,3.07,172.79,28.6,4.36
61,Narsaq,71,GL,1588895348,57,60.92,-46.05,9.0,2.1
62,Ibrā’,4,OM,1588895348,37,22.69,58.53,28.18,1.01
63,Flin Flon,20,CA,1588895155,17,54.77,-101.86,8.0,2.1
64,São João da Barra,100,BR,1588895348,89,-21.64,-41.05,19.37,5.78
65,Alofi,75,NU,1588895340,74,-19.06,-169.92,29.0,4.1
66,Imbituba,30,BR,1588895159,68,-28.24,-48.67,18.0,2.1
67,Mar del Plata,31,AR,1588895319,87,-38.0,-57.56,12.22,3.6
68,Saint Paul Harbor,90,US,1588895349,87,57.79,-152.41,7.0,12.9
69,Carutapera,23,BR,1588895162,89,-1.2,-46.02,26.25,2.78
70,Hasaki,75,JP,1588895077,62,35.73,140.83,17.22,2.6
71,Caravelas,80,BR,1588895349,85,-17.71,-39.25,23.6,6.92
72,Ystad,64,SE,1588895350,81,55.43,13.82,9.0,3.6
73,Dzhebariki-Khaya,100,RU,1588895350,69,62.22,135.8,5.59,5.94
74,Grand Gaube,100,MU,1588895350,91,-20.01,57.66,23.33,2.24
75,Arraial do Cabo,96,BR,1588895333,75,-22.97,-42.03,21.34,5.67
76,Menongue,0,AO,1588895172,66,-14.66,17.69,12.59,1.56
77,Coahuayana Viejo,40,MX,1588895351,42,18.73,-103.68,30.0,7.7
78,Nikolskoye,0,RU,1588895351,86,59.7,30.79,3.0,2.0
79,Khatanga,0,RU,1588895351,93,71.97,102.5,-12.49,5.13
80,Kapaa,20,US,1588895178,74,22.08,-159.32,26.0,8.7
81,Puerto Ayora,41,EC,1588895179,90,-0.74,-90.35,26.11,1.34
82,Ponta do Sol,20,PT,1588895181,77,32.67,-17.1,17.0,2.6
