,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hobart,20,AU,1591216900,70,-42.88,147.33,6.67,4.1
1,Saskylakh,100,RU,1591217091,59,71.92,114.08,8.83,3.32
2,Coquimbo,75,CL,1591216923,71,-29.95,-71.34,12.0,4.1
3,Chui,17,UY,1591217091,77,-33.7,-53.46,10.86,1.96
4,Mount Isa,69,AU,1591216931,45,-20.73,139.5,13.0,2.6
5,Pisco,75,PE,1591217092,68,-13.7,-76.22,22.0,5.1
6,Cape Town,84,ZA,1591216677,77,-33.93,18.42,16.0,6.2
7,Todos Santos,0,MX,1591217092,78,23.45,-110.22,20.56,4.47
8,Ushuaia,75,AR,1591216649,75,-54.8,-68.3,7.0,7.7
9,Alyangula,5,AU,1591216978,100,-13.85,136.42,15.0,6.75
10,Faanui,0,PF,1591216916,68,-16.48,-151.75,26.49,2.75
11,East London,100,ZA,1591217093,78,-33.02,27.91,18.55,3.08
12,Amarillo,20,US,1591216826,23,35.22,-101.83,35.0,2.6
13,Laguna,1,US,1591217094,23,38.42,-121.42,38.33,2.6
14,Punta Arenas,90,CL,1591217094,65,-53.15,-70.92,8.0,9.8
15,Port Elizabeth,98,ZA,1591217094,93,-33.92,25.57,15.0,2.1
16,Atuona,4,PF,1591217095,75,-9.8,-139.03,27.21,6.82
17,Doha,0,QA,1591217095,50,25.29,51.53,36.67,2.6
18,Sola,100,VU,1591217096,82,-13.88,167.55,27.25,5.02
19,Wencheng,57,CN,1591217096,68,33.06,113.8,21.35,2.33
20,Rikitea,100,PF,1591217096,80,-23.12,-134.97,24.28,8.3
21,Mount Gambier,1,AU,1591217096,100,-37.83,140.77,1.0,2.1
22,Polyarny,75,RU,1591217097,100,69.2,33.45,6.0,3.0
23,Evensk,94,RU,1591216973,83,61.95,159.23,6.05,1.4
24,Khatanga,11,RU,1591216906,51,71.97,102.5,9.33,4.09
25,Mataura,100,NZ,1591216878,92,-46.19,168.86,6.72,3.35
26,São João do Paraíso,61,BR,1591217098,88,-15.31,-42.01,20.25,2.22
27,Bila,56,BA,1591217098,55,43.78,16.93,18.0,0.5
28,Tiksi,37,RU,1591217098,90,71.69,128.87,0.82,1.27
29,Norman Wells,75,CA,1591216926,43,65.28,-126.83,11.0,2.6
30,Puerto Ayora,40,EC,1591217099,58,-0.74,-90.35,29.0,8.7
31,Āwash,2,ET,1591217099,49,8.98,40.17,24.95,1.6
32,Zhigansk,66,RU,1591217099,51,66.77,123.37,10.36,4.65
33,Christchurch,97,NZ,1591217099,93,-43.53,172.63,11.11,5.1
34,Maceió,20,BR,1591217099,88,-9.67,-35.74,26.0,2.6
35,Srednekolymsk,0,RU,1591217100,51,67.45,153.68,11.0,2.75
36,Carnarvon,0,AU,1591217100,42,-24.87,113.63,21.88,4.12
37,Port Hardy,75,CA,1591217100,76,50.7,-127.42,12.0,3.1
38,Butaritari,84,KI,1591217100,77,3.07,172.79,27.9,3.01
39,Port Alfred,100,ZA,1591216923,94,-33.59,26.89,16.11,0.89
40,Shingū,100,JP,1591217101,85,33.73,135.98,18.62,1.59
41,Huercal Overa,55,ES,1591217101,37,37.39,-1.95,26.11,5.36
42,Ostrovnoy,5,RU,1591217101,67,68.05,39.51,11.66,6.23
43,Kapaa,20,US,1591217101,78,22.08,-159.32,27.22,5.1
44,Vanavara,100,RU,1591217102,73,60.34,102.28,9.95,1.38
45,Lompoc,1,US,1591217102,53,34.64,-120.46,27.22,7.2
46,Sūsangerd,0,IR,1591217102,11,31.56,48.18,37.0,3.1
47,Pevek,68,RU,1591217102,76,69.7,170.31,4.22,1.54
48,Vila Franca do Campo,75,PT,1591217102,93,37.72,-25.43,17.0,7.7
49,Vaini,40,TO,1591216888,83,-21.2,-175.2,25.0,4.1
50,Novikovo,0,RU,1591217103,89,51.15,37.89,11.9,1.43
51,Poconé,12,BR,1591217103,60,-16.26,-56.62,25.94,0.68
52,Hilo,1,US,1591217103,54,19.73,-155.09,29.0,4.1
53,Cayenne,40,GF,1591217104,83,4.93,-52.33,28.0,4.6
54,Daru,100,PG,1591216987,86,-9.08,143.21,25.5,8.38
55,Busselton,0,AU,1591216863,77,-33.65,115.33,8.89,2.69
56,Salalah,40,OM,1591217104,89,17.02,54.09,29.0,2.1
57,Avarua,14,CK,1591216891,69,-21.21,-159.78,25.0,4.1
58,Albany,74,US,1591216881,55,42.6,-73.97,25.56,5.77
59,Khuzdar,0,PK,1591217105,49,27.74,66.64,25.62,1.26
60,Ponta Delgada,75,PT,1591217105,93,37.73,-25.67,17.0,7.7
61,Tessalit,27,ML,1591217105,11,20.2,1.01,36.89,4.96
62,Navahrudak,72,BY,1591217106,99,53.6,25.83,7.01,2.41
63,Saint Paul Harbor,90,US,1591217106,81,57.79,-152.41,10.0,5.7
64,Lagoa,0,PT,1591217106,79,39.05,-27.98,17.02,10.58
65,Xining,100,CN,1591217107,53,36.62,101.77,11.41,1.16
66,Novobiryusinskiy,97,RU,1591217107,91,56.96,97.71,7.6,3.4
67,Bambous Virieux,75,MU,1591217107,78,-20.34,57.76,22.78,6.2
68,Olafsvik,61,IS,1591217107,84,64.89,-23.71,8.61,2.11
69,Kopervik,84,NO,1591217108,87,59.28,5.31,11.11,5.7
70,Puerto del Rosario,20,ES,1591217108,88,28.5,-13.86,23.0,1.5
71,Longyearbyen,39,SJ,1591216957,69,78.22,15.64,3.0,2.1
72,Mergen,100,CN,1591217108,93,49.18,125.22,10.98,5.22
73,Lewistown,20,US,1591216979,54,40.6,-77.57,31.11,6.7
74,Tabou,32,CI,1591217109,86,4.42,-7.35,26.43,3.01
75,Tuktoyaktuk,20,CA,1591216899,60,69.45,-133.04,5.0,5.7
76,Teguise,20,ES,1591217109,69,29.06,-13.56,24.0,5.1
77,Panjāb,0,AF,1591217109,46,34.39,67.02,10.18,2.24
78,Bluff,100,NZ,1591217110,79,-46.6,168.33,8.56,10.24
79,Ambon City,25,ID,1591217110,78,-3.7,128.18,26.86,6.65
80,Severo-Kuril'sk,100,RU,1591217110,80,50.68,156.12,8.51,6.06
81,Provideniya,0,RU,1591217110,75,64.38,-173.3,5.0,4.0
82,Faya,12,SA,1591217110,25,18.39,42.45,26.0,5.1
83,Airai,100,TL,1591217111,100,-8.93,125.41,12.67,2.04
84,Hambantota,71,LK,1591217111,85,6.12,81.12,25.63,5.84
85,New Norfolk,8,AU,1591216918,77,-42.78,147.06,6.67,1.69
86,Castro,69,BR,1591216921,96,-24.79,-50.01,14.57,2.1
87,Dikson,99,RU,1591217112,98,73.51,80.55,-0.41,6.64
88,Namwala,30,ZM,1591217112,73,-15.75,26.44,13.41,2.24
89,Jamestown,40,US,1591216991,69,42.1,-79.24,24.44,7.7
90,Hammerfest,75,NO,1591217112,65,70.66,23.68,7.0,1.5
91,Kronach,90,DE,1591217112,10,50.24,11.33,16.11,1.14
92,Coahuayana Viejo,20,MX,1591217113,62,18.73,-103.68,30.0,3.65
93,Acaraú,25,BR,1591217113,83,-2.89,-40.12,26.26,6.1
94,Bethanien,100,NA,1591217113,27,-26.5,17.16,18.58,4.23
95,Roebourne,0,AU,1591217114,46,-20.78,117.13,21.77,5.69
96,Meulaboh,100,ID,1591217114,84,4.14,96.13,24.27,2.03
97,Vostochnyy,90,RU,1591217114,93,55.82,37.87,15.0,4.0
98,Victor Harbor,0,AU,1591217114,93,-35.57,138.62,2.78,2.98
99,Eagle Pass,40,US,1591216908,49,28.71,-100.5,32.0,5.7
100,Barrow,1,US,1591217005,80,71.29,-156.79,2.0,8.2
